DN,Longitude,Latitude
"1",120.3819992,16.099
"1",120.3830252,16.099
"1",120.3833994,16.099
"1",120.3721012,16.099
"1",120.3832096,16.099
"1",120.3835363,16.099
"1",120.3837697,16.099
"1",120.3719122,16.099
"1",120.3827414,16.099
"1",120.3818997,16.099
"1",120.3826465,16.099
"1",120.3835800,16.099
"1",120.3837666,16.099
"1",120.3839533,16.099
"1",120.3820367,16.099
"1",120.3711601,16.099
"0",120.3830137,16.099
"1",120.3836390,16.099
"1",120.3816128,16.099
"1",120.3828554,16.099
"1",120.3808652,16.099
"0",120.3826373,16.098
"1",120.3673259,16.099
"0",120.3830092,16.098
"0",120.3826342,16.098
"1",120.3814192,16.098
"1",120.3817956,16.098
"1",120.3833795,16.098
"1",120.3821998,16.098
"1",120.3812111,16.098
"1",120.3817895,16.098
"1",120.3835631,16.098
"1",120.3664774,16.098
"1",120.3811512,16.098
"1",120.3820665,16.098
"1",120.3816901,16.098
"1",120.3819686,16.098
"1",120.3659082,16.098
"1",120.3826128,16.097
"1",120.3671156,16.097
"1",120.3667644,16.097
"1",120.3760755,16.097
"1",120.3763555,16.097
"1",120.3664561,16.097
"1",120.3777511,16.097
"1",120.3738581,16.097
"1",120.3815738,16.096
"1",120.3817605,16.096
"1",120.3740096,16.096
"1",120.3817574,16.096
"1",120.3825026,16.096
"1",120.3746585,16.096
"1",120.3815661,16.096
"1",120.3817995,16.096
"1",120.3743124,16.096
"1",120.3823114,16.096
"1",120.3745613,16.096
"1",120.3747947,16.096
"1",120.3817031,16.096
"1",120.3749630,16.096
"1",120.3725972,16.096
"1",120.3743700,16.096
"1",120.3745284,16.095
"1",120.3751880,16.095
"1",120.3748261,16.095
"1",120.3728650,16.095
"1",120.3730487,16.095
"1",120.3630560,16.095
"1",120.3632427,16.095
"1",120.3739715,16.094
"1",120.3635136,16.094
"1",120.3635978,16.093
"1",120.3637845,16.093
"1",120.3740404,16.093
"1",120.3742271,16.093
"1",120.3600324,16.092
"1",120.3602191,16.092
"1",120.3604028,16.092
"1",120.3651107,16.092
"1",120.3602009,16.091
"1",120.3661750,16.091
"1",120.3679471,16.091
"1",120.3603860,16.091
"1",120.3604251,16.091
"1",120.3640189,16.091
"1",120.3651391,16.091
"1",120.3659325,16.091
"1",120.3638292,16.091
"1",120.3641092,16.091
"1",120.3643893,16.091
"1",120.3646693,16.091
"1",120.3661628,16.091
"1",120.3609324,16.090
"1",120.3636395,16.090
"1",120.3638262,16.090
"1",120.3661598,16.090
"1",120.3565177,16.090
"1",120.3567288,16.090
"1",120.3609294,16.090
"1",120.3611146,16.090
"1",120.3634497,16.090
"1",120.3663434,16.090
"1",120.3612998,16.090
"1",120.3632600,16.090
"1",120.3667138,16.090
"1",120.3679273,16.090
"1",120.3612967,16.090
"1",120.3614834,16.090
"1",120.3629769,16.090
"1",120.3614804,16.090
"1",120.3616671,16.090
"1",120.3629272,16.090
"1",120.3618507,16.090
"1",120.3625041,16.090
"1",120.3618477,16.089
"1",120.3661415,16.089
"1",120.3618446,16.089
"1",120.3544673,16.089
"1",120.3550243,16.089
"1",120.3666925,16.089
"1",120.3674377,16.089
"1",120.3601538,16.089
"1",120.3541315,16.089
