DN,Longitude,Latitude
"1",122.5749293,10.7529465
"1",122.5877797,10.7527830
"1",122.5711813,10.7515848
"1",122.5904816,10.7499377
"1",122.5422828,10.7496443
"1",122.5908482,10.7494408
"1",122.5906656,10.7491692
"1",122.5895693,10.7482634
"1",122.5901181,10.7482641
"1",122.5888387,10.7474484
"1",122.5747544,10.7472034
"1",122.5763106,10.7461655
"1",122.5761283,10.7457130
"1",122.5868295,10.7453657
"1",122.5742090,10.7448060
"1",122.5564668,10.7443290
"1",122.5849119,10.7431021
"1",122.5401902,10.7424061
"1",122.5730236,10.7422721
"1",122.5174197,10.7409698
"1",122.5691843,10.7409102
"1",122.5412906,10.7405085
"1",122.5407429,10.7397842
"1",122.5500717,10.7396170
"1",122.5833626,10.7391207
"1",122.5832715,10.7388493
"1",122.5496162,10.7384406
"1",122.5426658,10.7382496
"1",122.5528176,10.7381739
"1",122.5525440,10.7376309
"1",122.5671777,10.7371090
"1",122.5812623,10.7367665
"1",122.5812627,10.7364952
"1",122.5969024,10.7359732
"1",122.5970853,10.7359734
"1",122.5704721,10.7356665
"1",122.5707466,10.7355764
"1",122.5950740,10.7354282
"1",122.5959888,10.7352485
"1",122.5383723,10.7350327
"1",122.5384640,10.7348971
"1",122.5443170,10.7349058
"1",122.5512677,10.7348707
"1",122.5819510,10.7347778
"1",122.5386017,10.7345356
"1",122.5429460,10.7343611
"1",122.5816314,10.7344156
"1",122.5388765,10.7342647
"1",122.5418487,10.7342691
"1",122.5428547,10.7342706
"1",122.5814487,10.7342344
"1",122.5809917,10.7340529
"1",122.5812662,10.7339629
"1",122.5384656,10.7338119
"1",122.5391058,10.7338128
"1",122.5670910,10.7337626
"1",122.5817237,10.7337826
"1",122.5390147,10.7335414
"1",122.5711157,10.7332255
"1",122.5686774,10.7329207
"1",122.5423083,10.7327323
"1",122.5421257,10.7325511
"1",122.5429488,10.7325524
"1",122.5683731,10.7325434
"1",122.5472479,10.7320160
"1",122.5462879,10.7318337
"1",122.5510892,10.7318407
"1",122.5639844,10.7317686
"1",122.5201782,10.7316137
"1",122.5414872,10.7314197
"1",122.5430421,10.7312863
"1",122.5336225,10.7311819
"1",122.5520962,10.7312091
"1",122.5324346,10.7305471
"1",122.5716684,10.7304227
"1",122.5357276,10.7301450
"1",122.5734068,10.7298824
"1",122.5437762,10.7296595
"1",122.5495382,10.7293320
"1",122.5745963,10.7294319
"0",122.5496299,10.7292159
"1",122.5497214,10.7291708
"1",122.5518249,10.7291286
"1",122.5678292,10.7291512
"1",122.5266763,10.7284583
"1",122.5548135,10.7283491
"1",122.5735009,10.7279833
"1",122.5543874,10.7278661
"1",122.5382006,10.7276616
"1",122.5738671,10.7277125
"1",122.5549369,10.7273243
"1",122.5391165,10.7267586
"1",122.5470731,10.7265894
"1",122.5586882,10.7261539
"1",122.5268630,10.7260167
"1",122.5949949,10.7261128
"1",122.5503663,10.7259611
"1",122.5564936,10.7259699
"1",122.5690228,10.7258066
"1",122.5265895,10.7254737
"1",122.5532020,10.7254678
"1",122.5397587,10.7254030
"1",122.5390272,10.7253115
"1",122.5247612,10.7250187
"1",122.5904236,10.7251120
"1",122.5906980,10.7251124
"1",122.5313915,10.7249383
"1",122.5305230,10.7248013
"1",122.5532034,10.7245182
"1",122.5553068,10.7245212
"1",122.5879554,10.7243852
"1",122.5511004,10.7242438
"1",122.5971007,10.7243068
"1",122.5557646,10.7241601
"1",122.5884129,10.7242050
"1",122.5725004,10.7240931
"1",122.5532957,10.7239757
"1",122.5529985,10.7239526
"1",122.5534788,10.7238403
"1",122.5957294,10.7239432
"1",122.5961867,10.7239438
"1",122.5974670,10.7239455
