DN,Longitude,Latitude
"1",124.2481607,7.2222348
"1",124.2483418,7.2222343
"1",124.2487946,7.2222331
"1",124.2449908,7.2221531
"1",124.2343045,7.2220917
"1",124.2365685,7.2220855
"1",124.2485223,7.2220078
"1",124.2499711,7.2219586
"1",124.2502427,7.2219126
"1",124.2411866,7.2218921
"1",124.2456239,7.2218348
"1",124.1841329,7.2219533
"1",124.2453521,7.2217903
"1",124.2480689,7.2217829
"1",124.2384693,7.2217186
"1",124.2505137,7.2216858
"1",124.2443554,7.2216122
"1",124.2467100,7.2216057
"1",124.2324012,7.2215542
"1",124.2411856,7.2215304
"1",124.2438117,7.2214780
"1",124.2506941,7.2214140
"1",124.2362946,7.2212723
"1",124.2465279,7.2212445
"1",124.2347546,7.2210956
"1",124.2518704,7.2210490
"1",124.1865575,7.2210064
"1",124.2464363,7.2208830
"1",124.1869750,7.2207702
"1",124.2533186,7.2207737
"1",124.2466169,7.2207016
"1",124.2341194,7.2206451
"1",124.2502389,7.2205560
"1",124.2505107,7.2206005
"1",124.2506919,7.2206000
"1",124.1692775,7.2207254
"1",124.1877670,7.2205923
"1",124.2434468,7.2205294
"1",124.2462990,7.2203407
"1",124.2412724,7.2201736
"1",124.2512340,7.2201464
"1",124.2515056,7.2201456
"1",124.2445321,7.2199838
"1",124.2531350,7.2198698
"1",124.2533158,7.2197789
"1",124.2372866,7.2197322
"1",124.2387354,7.2196830
"1",124.2331201,7.2194721
"1",124.2518206,7.2194212
"1",124.2327576,7.2193827
"1",124.2326668,7.2192925
"1",124.2381004,7.2192778
"1",124.2388244,7.2190949
"1",124.2400016,7.2190917
"1",124.2432618,7.2190829
"1",124.2366507,7.2190104
"1",124.2496906,7.2187488
"1",124.2432605,7.2186307
"1",124.2405435,7.2185476
"1",124.2505048,7.2184300
"1",124.2510481,7.2184285
"1",124.2544289,7.2183891
"1",124.2561194,7.2184146
"1",124.2547608,7.2183279
"1",124.2240609,7.2183208
"1",124.2497345,7.2182513
"1",124.2484212,7.2181644
"1",124.2236074,7.2180507
"1",124.2582010,7.2179567
"1",124.2489638,7.2178916
"1",124.2502316,7.2178882
"1",124.2386393,7.2176484
"1",124.2467896,7.2176263
"1",124.2354692,7.2174761
"1",124.2528566,7.2174288
"1",124.2558450,7.2174206
"1",124.2447966,7.2173604
"1",124.2449777,7.2173599
"1",124.2515432,7.2173419
"1",124.2519055,7.2173409
"1",124.2535808,7.2173363
"1",124.2500488,7.2172556
"1",124.2528561,7.2172479
"1",124.2249181,7.2171428
"1",124.2504105,7.2170737
"1",124.2485991,7.2169882
"1",124.2490519,7.2169870
"1",124.2580172,7.2169624
"1",124.2510434,7.2167102
"1",124.2519490,7.2167078
"1",124.2437079,7.2166398
"1",124.2517676,7.2166178
"1",124.2439491,7.2165186
"1",124.2456999,7.2165440
"1",124.2470571,7.2160881
"1",124.2412611,7.2160134
"1",124.2494114,7.2159912
"1",124.1825781,7.2160787
"1",124.2529428,7.2158459
"1",124.2271334,7.2158707
"1",124.2449733,7.2157320
"1",124.2369130,7.2155730
"1",124.2449723,7.2153703
"1",124.2514920,7.2151716
"1",124.2507673,7.2150831
"1",124.2442468,7.2150105
"1",124.2446995,7.2149640
"1",124.2461485,7.2150053
"1",124.2377263,7.2149378
"1",124.2485028,7.2149084
"1",124.2420547,7.2147813
"1",124.2438841,7.2148306
"1",124.2457857,7.2147802
"1",124.2475970,7.2148205
"1",124.2339221,7.2146767
"1",124.2509471,7.2146304
"1",124.2423438,7.2145635
"1",124.2447887,7.2144664
"1",124.2476865,7.2144585
"1",124.2503127,7.2144513
"1",124.2399890,7.2144342
"1",124.2435659,7.2143793
"1",124.2437920,7.2142882
"1",124.2458748,7.2142373
"1",124.2415276,7.2141135
"1",124.2432482,7.2141088
"1",124.2345091,7.2140421
"1",124.2471417,7.2139173
"1",124.2289392,7.2138762
"1",124.2376328,7.2138528
"1",124.1822999,7.2135471
"1",124.2455825,7.2133428
"1",124.2458717,7.2131069
"1",124.1726083,7.2129390
"1",124.1731516,7.2129376
"1",124.2325584,7.2126908
"1",124.2405275,7.2126692
"1",124.2456892,7.2126100
"1",124.1822070,7.2126430
"1",124.2407081,7.2124878
"1",124.1707522,7.2124916
"1",124.1741961,7.2121511
"1",124.2318322,7.2120597
"1",124.2429708,7.2120295
"1",124.2507588,7.2120083
"1",124.2395294,7.2119484
"1",124.1744623,7.2119846
"1",124.1821145,7.2119197
"1",124.1747335,7.2118031
"1",124.1818426,7.2118299
"1",124.2380797,7.2116810
"1",124.2486743,7.2113809
"1",124.1816606,7.2114687
"1",124.2408860,7.2113117
"1",124.2452328,7.2112998
"1",124.1793055,7.2112939
"1",124.2428773,7.2109445
"1",124.2484919,7.2109292
"1",124.2514803,7.2109210
"1",124.1804814,7.2107482
"1",124.2365373,7.2105999
"1",124.1750986,7.2109944
"1",124.1826090,7.2105166
"1",124.2420001,7.2102837
"1",124.1744581,7.2103567
"1",124.1807973,7.2103404
"1",124.1813407,7.2103390
"1",124.1820197,7.2102920
"1",124.1822461,7.2102914
"1",124.2469502,7.2101195
"1",124.1700528,7.2102840
"1",124.1842433,7.2102159
"1",124.1742763,7.2100859
"1",124.1804346,7.2101604
"1",124.2384375,7.2100522
"1",124.1775362,7.2099870
"1",124.1798456,7.2100263
"1",124.1800266,7.2099806
"1",124.1802982,7.2099347
"1",124.1841922,7.2099246
"1",124.1777166,7.2097153
"1",124.1798903,7.2098001
"1",124.1840560,7.2097893
"1",124.2474017,7.2096660
"1",124.2535596,7.2096492
"1",124.1705173,7.2097790
"1",124.2436886,7.2095857
"1",124.1707434,7.2096879
"1",124.1728745,7.2116199
"1",124.1797087,7.2096197
"1",124.2472201,7.2094857
"1",124.2475824,7.2094847
"1",124.2514763,7.2094740
"1",124.2523819,7.2094716
"0",124.1763126,7.2095832
"1",124.2377114,7.2094211
"1",124.1704261,7.2095531
"1",124.1740788,7.2095739
"1",124.1712083,7.2093573
"1",124.1718297,7.2095043
"1",124.1721918,7.2094581
"1",124.1728257,7.2094565
"1",124.1779891,7.2092525
"1",124.1795271,7.2094393
"1",124.2357189,7.2093360
"1",124.2453178,7.2092648
"1",124.2502983,7.2092059
"1",124.1793004,7.2093042
"1",124.2428724,7.2091358
"1",124.2448647,7.2091303
"1",124.2452265,7.2089937
"0",124.1780323,7.2092170
"1",124.2328201,7.2090273
"1",124.1742737,7.2090910
"1",124.1787566,7.2091247
"1",124.1789828,7.2090789
"1",124.2311899,7.2089413
"1",124.2542520,7.2089539
"1",124.2422378,7.2088662
"1",124.2476711,7.2088061
"1",124.2536478,7.2087898
"1",124.1744998,7.2089548
"1",124.1762039,7.2094239
"1",124.1746502,7.2087434
"1",124.2438671,7.2085904
"1",124.2406067,7.2085088
"1",124.1753190,7.2086311
"1",124.2314602,7.2084431
"1",124.2321847,7.2084412
"1",124.2526053,7.2083857
"1",124.2332711,7.2083478
"1",124.2289241,7.2082691
"1",124.2408776,7.2081916
"1",124.1750414,7.2082751
"1",124.2476690,7.2080374
"1",124.2480312,7.2080364
"1",124.2498423,7.2080315
"1",124.2439559,7.2079571
"1",124.2436840,7.2078674
"1",124.1747689,7.2079593
"1",124.2318207,7.2078091
"1",124.2338130,7.2078037
"1",124.2379784,7.2077020
"1",124.2430946,7.2075977
"1",124.2437728,7.2072341
"1",124.2407840,7.2071066
"1",124.2339469,7.2070799
"1",124.2542768,7.2069793
"1",124.2436815,7.2069630
"1",124.2510166,7.2069430
"1",124.2440430,7.2066907
"1",124.2531890,7.2065753
"1",124.2358017,7.2064870
"1",124.2449476,7.2063265
"1",124.2363442,7.2061690
"1",124.2551800,7.2061177
"1",124.2514669,7.2060374
"1",124.2442221,7.2059668
"1",124.2421391,7.2058820
"1",124.2370673,7.2056696
"1",124.2373391,7.2057141
"1",124.2322669,7.2053661
"1",124.2282369,7.2052865
"1",124.2329909,7.2051832
"1",124.2321756,7.2050950
"1",124.2442197,7.2050624
"1",124.2300923,7.2049197
"1",124.2448983,7.2048797
"1",124.2319485,7.2048243
"1",124.2419550,7.2047972
"1",124.2367025,7.2047210
"1",124.2452148,7.2046979
"1",124.2307255,7.2046467
"1",124.2422715,7.2046155
"1",124.2462107,7.2046048
"1",124.2374264,7.2045382
"1",124.2414102,7.2042561
"1",124.2440363,7.2042489
"1",124.2375160,7.2041762
"1",124.2413194,7.2041659
"1",124.2412286,7.2040757
"1",124.2448508,7.2040658
"1",124.1786531,7.2041508
"1",124.2308143,7.2040134
"1",124.2484271,7.2037848
"1",124.2414990,7.2036228
"1",124.2002951,7.2035519
"1",124.2482450,7.2034235
"1",124.2003854,7.2034612
"1",124.2295446,7.2032933
"1",124.2479274,7.2031983
"1",124.2332570,7.2031476
"1",124.2424031,7.2030777
"1",124.2349320,7.2030075
"1",124.2309925,7.2029276
"1",124.2352487,7.2029162
"1",124.2309015,7.2027470
