DN,Longitude,Latitude
"1",121.1033481,14.6929686
"1",121.1035361,14.6926991
"1",121.1048845,14.6924390
"1",121.1046528,14.6923919
"1",121.0262176,14.6908793
"1",121.0429301,14.6906594
"1",121.0943667,14.6901839
"1",121.1066214,14.6901939
"1",121.0694917,14.6895264
"1",121.0948359,14.6896004
"1",121.0685649,14.6893380
"1",121.0937223,14.6895460
"1",121.0946837,14.6893129
"1",121.0896409,14.6891510
"1",121.0957682,14.6891562
"1",121.0931700,14.6889993
"1",121.0949339,14.6890137
"1",121.0953052,14.6890168
"1",121.0940992,14.6889165
"1",121.0946565,14.6888759
"1",121.0948449,14.6885612
"1",121.1045970,14.6880988
"1",121.1059903,14.6880198
"1",121.0411098,14.6865775
"1",121.0585664,14.6861820
"1",121.0946773,14.6864813
"1",121.0232925,14.6857938
"1",121.0949566,14.6863932
"1",121.0891114,14.6859836
"1",121.0307341,14.6841401
"1",121.0943224,14.6845806
"1",121.0483486,14.6833551
"1",121.0955366,14.6837320
"1",121.0424431,14.6827933
"1",121.0287065,14.6824963
"1",121.0422591,14.6826110
"1",121.0424447,14.6826126
"1",121.0480144,14.6826595
"1",121.0643536,14.6826155
"1",121.0418910,14.6822464
"1",121.0417070,14.6820641
"1",121.0342825,14.6818206
"1",121.0940635,14.6823192
"1",121.0402250,14.6816901
"1",121.0405963,14.6816933
"1",121.0396696,14.6815047
"1",121.0399481,14.6815071
"1",121.0394856,14.6813224
"1",121.0396712,14.6813240
"1",121.0951365,14.6816954
"1",121.0559175,14.6812799
"1",121.0435747,14.6808147
"1",121.0558326,14.6803755
"1",121.0945417,14.6806964
"1",121.0506391,14.6797897
"1",121.0549099,14.6797352
"1",121.0517547,14.6796183
"1",121.0519403,14.6796199
"1",121.0564007,14.6791151
"1",121.0565864,14.6791166
"1",121.0564023,14.6789343
"1",121.0543614,14.6787817
"1",121.0244722,14.6784841
"1",121.0311555,14.6785409
"1",121.0547331,14.6787396
"1",121.0242882,14.6783018
"1",121.0289294,14.6783413
"1",121.0306002,14.6783554
"1",121.0576155,14.6782215
"1",121.0581740,14.6780455
"1",121.0897382,14.6779458
"1",121.0901150,14.6773163
"1",121.0906735,14.6771402
"1",121.0127960,14.6762157
"1",121.0244916,14.6763155
"1",121.0235650,14.6761268
"1",121.0795854,14.6765065
"1",121.0504871,14.6759929
"1",121.0529006,14.6760132
"1",121.0495605,14.6758044
