DN,Longitude,Latitude
"1",124.9655492,11.2975849
"1",124.9657960,11.2975200
"1",124.9659143,11.2974017
"1",124.9657274,11.2968606
"1",124.9659106,11.2968594
"1",124.9633439,11.2965148
"1",124.9640735,11.2960581
"1",124.9659019,11.2955940
"1",124.9646607,11.2948791
"1",124.9083819,11.2946142
"1",124.9645184,11.2941569
"1",124.9656174,11.2941497
"1",124.9641448,11.2930748
"1",124.9568002,11.2931053
"1",124.9637302,11.2927159
"1",124.9641408,11.2924873
"1",124.9613938,11.2925506
"1",124.9612091,11.2923259
"1",124.9641368,11.2918998
"1",124.9639505,11.2914490
"1",124.9563943,11.2913182
"1",124.9111059,11.2910714
"1",124.9641263,11.2903632
"1",124.9636648,11.2898239
"1",124.9222573,11.2878356
"1",124.9593350,11.2860562
"1",124.9595181,11.2860550
"1",124.9591506,11.2858767
"1",124.9607952,11.2853235
"1",124.9635329,11.2839043
"1",124.9632121,11.2838613
"1",124.9094097,11.2838510
"1",124.9631590,11.2827769
"1",124.9039062,11.2825305
"1",124.9036761,11.2823512
"1",124.9030784,11.2819935
"1",124.9033532,11.2819917
"1",124.9051383,11.2818898
"1",124.9046328,11.2816219
"1",124.9627730,11.2798870
"1",124.9112035,11.2781448
"1",124.9091850,11.2775702
"1",124.9093655,11.2771623
"1",124.9431528,11.2764910
"1",124.9165016,11.2761220
"1",124.9761920,11.2736515
"0",124.9761367,11.2734607
"1",124.9646518,11.2733666
"1",124.9646481,11.2728243
"1",124.9647385,11.2726429
"1",124.9142823,11.2728822
"1",124.9133654,11.2727073
"1",124.9135486,11.2727062
"1",124.9133642,11.2725266
"1",124.9442502,11.2723646
"1",124.9131799,11.2723470
"1",124.9129956,11.2721674
"1",124.9453180,11.2716410
"1",124.9654636,11.2715535
"1",124.9649013,11.2696590
"1",124.9671429,11.2693730
"1",124.9675525,11.2690087
"1",124.9677344,11.2688267
"1",124.9288832,11.2651949
"1",124.9304989,11.2603033
"1",124.9297640,11.2599465
"1",124.9290290,11.2595897
"1",124.9453030,11.2557776
"1",124.9473156,11.2554933
"1",124.9452987,11.2551449
"1",124.9456180,11.2549620
"1",124.9483167,11.2545828
"1",124.9485908,11.2544906
"1",124.9470330,11.2543200
"1",124.9473987,11.2542273
"1",124.9442842,11.2540669
"1",124.9445589,11.2540651
"1",124.9456571,11.2539675
"1",124.9474875,11.2538199
"1",125.0032028,11.2533593
"1",124.9473022,11.2535048
"1",125.0030181,11.2531346
"1",125.0037964,11.2531294
"0",125.0052614,11.2531195
"1",125.0027880,11.2529554
"0",125.0031536,11.2528625
"0",125.0034268,11.2526438
"1",125.0050212,11.2529077
"1",125.0060004,11.2527349
"1",125.0022355,11.2525072
"1",125.0024186,11.2525060
"1",125.0039066,11.2525185
"1",125.0042040,11.2524939
"1",125.0065846,11.2524779
"1",125.0068135,11.2524763
"1",125.0069966,11.2524751
"1",125.0071798,11.2524738
"0",125.0033336,11.2524094
"0",125.0035167,11.2524082
"1",124.9546219,11.2526432
"1",125.0024631,11.2523249
"1",125.0027535,11.2523832
"1",125.0031669,11.2526569
"1",124.9543450,11.2523287
"1",125.0009489,11.2518379
"1",125.0014071,11.2518801
"1",124.9544345,11.2520117
"1",124.9549836,11.2519629
"1",125.0012227,11.2517005
"1",125.0072199,11.2516601
"1",125.0010226,11.2514608
